Disease	Disease1
Triple-receptor Negative Breast Cancer	Breast Cancer
Tuberous Sclerosis	Tuberous Sclerosis
Tumor Of Exocrine Pancreas	Pancreatic Cancer
Ureter Small Cell Carcinoma	Ureter Small Cell Carcinoma
Urinary tract carcinoma	Urinary tract carcinoma
Urothelial Carcinoma	Urothelial Carcinoma
Uterine Cancer	Uterine Cancer
Uterine Corpus Endometrial Carcinoma	Uterine Cancer
Uterine Corpus Serous Adenocarcinoma	Uterine Cancer
Uveal Melanoma	Melanoma
Vagina Sarcoma	Vagina Sarcoma
Von Hippel-Lindau Disease	Von Hippel-Lindau Disease
Waldenström's Macroglobulinemia	Waldenström's Macroglobulinemia
Waldenström macroglobulinemia	Waldenström macroglobulinemia
